"Results from the British Library's Shine interface, (webarchive.org.uk/shine), on 02/08/2022."
"Search Summary: Search Term(s): ""Olympic legacy"", Crawl Year: (Include) ""2013"", Domain: (Include) ""guardian.co.uk"""
Title, Host, Public Suffix, Crawl Year, Content Type, Content Language, Crawl Date, URL, Wayback Date, URL
"Sport: World Athletics Championships | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 17:37:44","http://web.archive.org/web/20130102173744/http://www.guardian.co.uk/sport/world-athletics-championships/rss","20130102173744","http://www.guardian.co.uk/sport/world-athletics-championships/rss" 
"Sport: Mo Farah | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 19:07:37","http://web.archive.org/web/20130102190737/http://www.guardian.co.uk/sport/mo-farah/rss","20130102190737","http://www.guardian.co.uk/sport/mo-farah/rss" 
"London | UK news | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-02 19:27:44","http://web.archive.org/web/20130102192744/http://www.guardian.co.uk/uk/london","20130102192744","http://www.guardian.co.uk/uk/london" 
"Sport: Serena Williams | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 19:47:34","http://web.archive.org/web/20130102194734/http://www.guardian.co.uk/sport/serena-williams/rss","20130102194734","http://www.guardian.co.uk/sport/serena-williams/rss" 
"Teacher Network | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 19:56:03","http://web.archive.org/web/20130102195603/http://www.guardian.co.uk/teacher-network/rss","20130102195603","http://www.guardian.co.uk/teacher-network/rss" 
"Sport + Letters | Sport | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-02 21:10:34","http://web.archive.org/web/20130102211034/http://www.guardian.co.uk/sport/sport+tone/letters","20130102211034","http://www.guardian.co.uk/sport/sport+tone/letters" 
"Education: Birkbeck, University of London | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 22:08:24","http://web.archive.org/web/20130102220824/http://www.guardian.co.uk/education/birkbeckuniversityoflondon/rss","20130102220824","http://www.guardian.co.uk/education/birkbeckuniversityoflondon/rss" 
"Education: Teaching | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-03 01:51:51","http://web.archive.org/web/20130103015151/http://www.guardian.co.uk/education/teaching/rss","20130103015151","http://www.guardian.co.uk/education/teaching/rss" 
"Politics: Education policy | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-03 02:44:31","http://web.archive.org/web/20130103024431/http://www.guardian.co.uk/politics/education/rss","20130103024431","http://www.guardian.co.uk/politics/education/rss" 
"Society: Obesity | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-03 03:25:35","http://web.archive.org/web/20130103032535/http://www.guardian.co.uk/society/obesity/rss","20130103032535","http://www.guardian.co.uk/society/obesity/rss" 
