source,target,type
b3_05,Q462371,undirected
b3_05,Q44248,undirected
b3_05,Q44248,undirected
b3_05,Q235381,undirected
b3_05,Q467062,undirected
b3_05,Q1048,undirected
b3_05,Q1048,undirected
b3_05,Q125046,undirected
b3_05,Q125046,undirected
b3_05,Q4649,undirected
b3_05,Q4649,undirected
b3_05,Q193800,undirected
b3_05,Q193800,undirected
b3_05,Q193800,undirected
b3_05,Q193800,undirected
b3_05,Q193800,undirected
b3_05,personb30502,undirected
b3_05,Q137727508,undirected
b3_05,Q105452,undirected
b3_05,Q469701,undirected
b3_05,Q47154,undirected
b3_05,Q47154,undirected
b3_05,Q47154,undirected
b3_05,Q47154,undirected
b3_05,Q242819,undirected
b3_05,Q211326,undirected
b3_05,Q175121,undirected
b3_05,Q190058,undirected
b3_05,Q3848545,undirected
b3_05,Q3848545,undirected
b3_05,Q51673,undirected
b3_05,Q112,undirected
b3_05,Q192374,undirected
b3_05,Q2098,undirected
b3_05,Q2098,undirected
b3_05,Q2098,undirected
b3_05,Q2098,undirected
b3_05,Q2098,undirected
b3_05,Q2098,undirected
b3_05,Q2098,undirected
b3_05,Q2098,undirected
b3_05,Q2098,undirected
b3_05,personb30503,undirected
b3_05,Q1361688,undirected
b3_05,Q940580,undirected
b3_05,Q11939237,undirected
b3_05,Q170472,undirected
b3_05,Q7198,undirected
b3_05,Q7198,undirected
b3_05,Q7198,undirected
b3_05,Q7198,undirected
b3_05,Q7198,undirected
b3_05,Q7198,undirected
b3_05,Q7198,undirected
b3_05,Q7198,undirected
b3_05,Q7198,undirected
b3_05,Q7198,undirected
b3_05,Q7198,undirected
b3_05,Q132582,undirected
b3_05,Q297420,undirected
b3_05,Q328793,undirected
b3_05,Q47180,undirected
b3_05,Q380190,undirected
b3_05,personb30505,undirected
b3_05,Q130650,undirected
b3_05,Q7185568,undirected
b3_05,Q296272,undirected
b3_05,Q334188,undirected
b3_05,Q334188,undirected
b3_05,Q311835,undirected
b3_05,Q859,undirected
b3_05,Q859,undirected
b3_05,Q859,undirected
b3_05,Q859,undirected
b3_05,Q859,undirected
b3_05,Q859,undirected
b3_05,Q859,undirected
b3_05,Q859,undirected
b3_05,Q859,undirected
b3_05,Q859,undirected
b3_05,Q859,undirected
b3_05,Q859,undirected
b3_05,Q859,undirected
b3_05,Q859,undirected
b3_05,Q859,undirected
b3_05,Q859,undirected
b3_05,Q859,undirected
b3_05,Q82778,undirected
b3_05,Q41523,undirected
b3_05,Q41523,undirected
b3_05,Q41523,undirected
b3_05,Q41523,undirected
b3_05,Q553856,undirected
b3_05,Q125414,undirected
b3_05,Q20108684,undirected
b3_05,Q105290,undirected
b3_05,Q206878,undirected
b3_05,Q8827,undirected
b3_05,Q10261,undirected
b3_05,Q193769,undirected
b3_05,Q316054,undirected
b3_05,Q2054,undirected
b3_05,Q2054,undirected
b3_05,Q2054,undirected
b3_05,Q2054,undirected
b3_05,Q2054,undirected
b3_05,Q2054,undirected
b3_05,personb30506,undirected
b3_05,Q302936,undirected
b3_05,Q913,undirected
b3_05,Q913,undirected
b3_05,Q913,undirected
b3_05,Q913,undirected
b3_05,Q913,undirected
b3_05,Q913,undirected
b3_05,Q913,undirected
b3_05,Q913,undirected
b3_05,Q913,undirected
b3_05,Q913,undirected
b3_05,Q913,undirected
b3_05,Q133337,undirected
b3_05,Q133337,undirected
b3_05,Q2311453,undirected
b3_05,Q316353,undirected
b3_05,Q172048,undirected
b3_05,Q172048,undirected
b3_05,Q172048,undirected
b3_05,Q3518324,undirected
b3_05,Q36303,undirected
b3_05,Q1246563,undirected
b3_05,Q26198012,undirected
b3_05,Q109598,undirected
b3_05,Q656881,undirected
b3_05,Q2039,undirected
b3_05,Q349222,undirected
b3_05,Q47652,undirected
b3_05,Q47652,undirected
b3_05,Q47652,undirected
b3_05,Q47652,undirected
b3_05,Q47652,undirected
b3_05,Q47652,undirected
b3_05,Q47652,undirected
b3_05,Q47652,undirected
b3_05,Q1398,undirected
b3_05,Q1398,undirected
b3_05,Q1398,undirected
b3_05,Q1398,undirected
b3_05,Q1398,undirected
b3_05,Q1398,undirected
b3_05,Q1398,undirected
b3_05,Q1398,undirected
b3_05,Q1398,undirected
b3_05,Q1398,undirected
b3_05,Q1398,undirected
b3_05,Q1398,undirected
b3_05,Q1398,undirected
b3_05,Q1398,undirected
b3_05,Q1398,undirected
b3_05,Q1398,undirected
b3_05,Q1398,undirected
b3_05,Q4640,undirected
b3_05,Q129772,undirected
b3_05,Q171303,undirected
b3_05,Q171303,undirected
b3_05,Q171303,undirected
b3_05,Q171303,undirected
b3_05,Q171303,undirected
b3_05,Q11768,undirected
b3_05,Q11772,undirected
b3_05,Q11772,undirected
b3_05,Q5705,undirected
b3_05,Q1333383,undirected
b3_05,Q844930,undirected
b3_05,Q173148,undirected
b3_05,Q213137,undirected
b3_05,Q142,undirected
b3_05,Q142,undirected
b3_05,Q142,undirected
b3_05,Q1572529,undirected
b3_05,Q48726,undirected
b3_05,Q838931,undirected
b3_05,Q838931,undirected
b3_05,Q838931,undirected
b3_05,Q838931,undirected
b3_05,Q1348,undirected
b3_05,Q23482,undirected
b3_05,Q3392,undirected
b3_05,Q12560,undirected
b3_05,Q90,undirected
b3_05,Q32579,undirected
b3_05,Q4948,undirected
b3_05,Q17167,undirected
b3_05,Q17167,undirected
b3_05,Q17167,undirected
b3_05,Q17167,undirected
b3_05,Q17167,undirected
b3_05,Q5690,undirected
